Id;OpponentId;DateTime;Serie;Result;Stadion;Home_match;Extra_time;Penalties;ResultCode;Attendance;RefereeId
17153;9;2017-05-06 18:00:00.000;Veikkausliiga;1-0;Bolt Arena;1;0;0;1;2372;NULL
17154;8;2017-05-12 18:30:00.000;Veikkausliiga;2.tammi;Savon Sanomat Areena;0;0;0;2;1788;NULL
17155;6;2017-05-19 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;2351;NULL
17156;1;2017-05-23 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;10500;NULL
17157;4;2017-05-27 15:00:00.000;Veikkausliiga;0-2;Bolt Arena;1;0;0;2;2828;NULL
17158;23;2017-05-31 18:30:00.000;Veikkausliiga;1.tammi;Elisa Stadion;0;0;0;0;1889;NULL
17159;7;2017-06-04 18:30:00.000;Veikkausliiga;0-1;Bolt Arena;1;0;0;2;2302;NULL
17160;10;2017-06-14 18:30:00.000;Veikkausliiga;0-2;Bolt Arena;1;0;0;2;3721;NULL
17161;4007;2017-06-17 15:00:00.000;Veikkausliiga;0-2;Bolt Arena;1;0;0;2;2546;NULL
17162;4008;2017-06-21 18:30:00.000;Veikkausliiga;0-3;Harjun stadion;0;0;0;1;1835;NULL
17163;5;2017-06-27 18:30:00.000;Veikkausliiga;4.tammi;Lahden kisapuisto;0;0;0;2;2847;NULL
17165;9;2017-07-08 17:00:00.000;Veikkausliiga;2.helmi;Rovaniemen keskuskenttä;0;0;0;0;2863;NULL
18149;8;2017-07-17 18:30:00.000;Veikkausliiga;1.huhti;Bolt Arena;1;0;0;2;2617;NULL
18150;6;2017-07-22 16:00:00.000;Veikkausliiga;1.tammi;Wiklöf Holding Arena;0;0;0;0;1809;NULL
18151;1;2017-07-31 18:30:00.000;Veikkausliiga;2-0;Bolt Arena;0;0;0;2;10500;NULL
18152;4;2017-08-04 18:30:00.000;Veikkausliiga;3-0;Veritas Stadion;0;0;0;2;2311;NULL
18153;23;2017-08-09 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;1;0;0;1;2414;NULL
18154;7;2017-08-14 18:30:00.000;Veikkausliiga;4.maalis;Tammelan Stadion;0;0;0;2;3620;NULL
18155;9;2017-08-19 17:00:00.000;Veikkausliiga;1-0;Bolt Arena;1;0;0;1;4705;NULL
18156;7;2017-08-26 17:00:00.000;Veikkausliiga;2.tammi;Tammelan Stadion;0;0;0;2;2796;NULL
18157;6;2017-09-08 18:30:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;2317;NULL
18158;1;2017-09-12 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;0;0;0;2;8567;NULL
18159;4008;2017-09-15 18:30:00.000;Veikkausliiga;1.tammi;Bolt Arena;1;0;0;0;2493;NULL
18160;8;2017-09-24 18:30:00.000;Veikkausliiga;3.helmi;Savon Sanomat Areena;0;0;0;2;3188;NULL
18161;23;2017-09-29 18:30:00.000;Veikkausliiga;1.helmi;Elisa Stadion;0;0;0;1;1789;NULL
18162;4007;2017-10-12 18:30:00.000;Veikkausliiga;4-0;Bolt Arena;1;0;0;1;2427;NULL
18163;4;2017-10-16 18:30:00.000;Veikkausliiga;4.tammi;Veritas Stadion;0;0;0;2;1442;NULL
18164;10;2017-10-20 18:30:00.000;Veikkausliiga;2.helmi;Bolt Arena;1;0;0;0;2563;NULL
18165;5;2017-10-28 14:00:00.000;Veikkausliiga;2.tammi;Lahden kisapuisto;0;0;0;2;2568;NULL
18166;3;2017-11-01 18:30:00.000;Liigakarsinta;0-0;Tapiolan urheilupuisto;0;0;0;0;2674;NULL
18167;3;2017-11-04 14:00:00.000;Liigakarsinta;1.tammi;Bolt Arena;1;0;0;0;4158;NULL
19149;2;2018-04-28 17:00:00.000;Ykkönen;1.helmi;Tehtaan kenttä;0;0;0;1;0;NULL
19150;15;2018-05-09 18:30:00.000;Ykkönen;3.tammi;Raatin stadion;0;0;0;2;0;NULL
19151;16;2018-05-14 18:30:00.000;Ykkönen;2.tammi;Bolt Arena;1;0;0;1;0;NULL
19152;4009;2018-05-21 18:30:00.000;Ykkönen;2-0;Bolt Arena;1;0;0;1;0;NULL
19153;14;2018-05-26 17:00:00.000;Ykkönen;0-0;Tammisaaren Keskuskenttä;0;0;0;0;0;NULL
19154;4008;2018-06-01 18:30:00.000;Ykkönen;0-2;Harjun stadion;0;0;0;1;0;NULL
19155;19;2018-06-09 17:00:00.000;Ykkönen;1.tammi;Bolt Arena;1;0;0;0;0;NULL
19156;18;2018-06-13 18:30:00.000;Ykkönen;2-0;Bolt Arena;1;0;0;1;0;NULL
19157;13;2018-06-20 18:30:00.000;Ykkönen;2.tammi;Kajaanin liikuntapuisto;0;0;0;2;0;NULL
19158;2;2018-06-26 18:30:00.000;Ykkönen;2-0;Bolt Arena;1;0;0;1;0;NULL
19159;15;2018-06-30 15:00:00.000;Ykkönen;3-0;Bolt Arena;1;0;0;1;0;NULL
19160;16;2018-07-09 18:30:00.000;Ykkönen;0-3;Pietarsaaren keskuskenttä;0;0;0;1;0;NULL
19161;14;2018-07-21 17:00:00.000;Ykkönen;1.tammi;Bolt Arena;1;0;0;0;0;NULL
19162;4008;2018-07-27 18:30:00.000;Ykkönen;2.helmi;Bolt Arena;1;0;0;0;0;NULL
19163;19;2018-08-06 18:30:00.000;Ykkönen;2.tammi;Arto Tolsa Areena;0;0;0;2;0;NULL
19164;18;2018-08-11 17:00:00.000;Ykkönen;2.helmi;Kokkolan keskuskenttä;0;0;0;0;0;NULL
19165;13;2018-08-19 18:30:00.000;Ykkönen;2.helmi;Bolt Arena;1;0;0;0;0;NULL
19166;4009;2018-08-23 18:30:00.000;Ykkönen;1.maalis;Bolt Arena;0;0;0;1;0;NULL
